,Open1,Open2,Open3,Open4,Open5,Low1,Low2,Low3,Low4,Low5,High1,High2,High3,High4,High5,Vol_1,Vol_2,Vol_3,Vol_4,Vol_5,Pos1,Pos2,Pos3,Pos4,Pos5,Neg1,Neg2,Neg3,Neg4,Neg5,Close1,Close2,Close3,Close4,Close5,Close
680,8759.751953125,8812.033203125,8811.9365234375,8705.7080078125,8491.166015625,8685.427734375,8761.6513671875,8692.5517578125,8484.84375,8473.9736328125,8853.7685546875,8836.841796875,8826.943359375,8730.873046875,8591.9970703125,20309769107,17545755405,19084739975,21796856471,16495389808,0.177792041,0.148918175,0.20642871,0.206738266,0.181998252,0.822207959,0.851081825,0.79357129,0.793261734,0.818001748,8815.662109375,8808.2626953125,8708.0947265625,8491.9921875,8550.7607421875,8577.9755859375
681,8812.033203125,8811.9365234375,8705.7080078125,8491.166015625,8549.470703125,8761.6513671875,8692.5517578125,8484.84375,8473.9736328125,8500.9677734375,8836.841796875,8826.943359375,8730.873046875,8591.9970703125,8727.7890625,17545755405,19084739975,21796856471,16495389808,18668638897,0.148918175,0.20642871,0.206738266,0.181998252,0.206040635,0.851081825,0.79357129,0.793261734,0.818001748,0.793959365,8808.2626953125,8708.0947265625,8491.9921875,8550.7607421875,8577.9755859375,8309.2861328125
682,8811.9365234375,8705.7080078125,8491.166015625,8549.470703125,8573.98046875,8692.5517578125,8484.84375,8473.9736328125,8500.9677734375,8273.5732421875,8826.943359375,8730.873046875,8591.9970703125,8727.7890625,8653.2802734375,19084739975,21796856471,16495389808,18668638897,21579470673,0.20642871,0.206738266,0.181998252,0.206040635,0.206708518,0.79357129,0.793261734,0.818001748,0.793959365,0.793291482,8708.0947265625,8491.9921875,8550.7607421875,8577.9755859375,8309.2861328125,8206.1455078125
683,8705.7080078125,8491.166015625,8549.470703125,8573.98046875,8305.134765625,8484.84375,8473.9736328125,8500.9677734375,8273.5732421875,8099.96337890625,8730.873046875,8591.9970703125,8727.7890625,8653.2802734375,8408.5166015625,21796856471,16495389808,18668638897,21579470673,21083613816,0.206738266,0.181998252,0.206040635,0.206708518,0.239352123,0.793261734,0.818001748,0.793959365,0.793291482,0.760647877,8491.9921875,8550.7607421875,8577.9755859375,8309.2861328125,8206.1455078125,8027.26806640625
684,8491.166015625,8549.470703125,8573.98046875,8305.134765625,8203.61328125,8473.9736328125,8500.9677734375,8273.5732421875,8099.96337890625,8010.51171875,8591.9970703125,8727.7890625,8653.2802734375,8408.5166015625,8237.240234375,16495389808,18668638897,21579470673,21083613816,20764300437,0.181998252,0.206040635,0.206708518,0.239352123,0.151894575,0.818001748,0.793959365,0.793291482,0.760647877,0.848105425,8550.7607421875,8577.9755859375,8309.2861328125,8206.1455078125,8027.26806640625,7642.75
685,8549.470703125,8573.98046875,8305.134765625,8203.61328125,8023.64453125,8500.9677734375,8273.5732421875,8099.96337890625,8010.51171875,7597.3818359375,8727.7890625,8653.2802734375,8408.5166015625,8237.240234375,8110.09814453125,18668638897,21579470673,21083613816,20764300437,22514243371,0.206040635,0.206708518,0.239352123,0.151894575,0.220728871,0.793959365,0.793291482,0.760647877,0.848105425,0.779271129,8577.9755859375,8309.2861328125,8206.1455078125,8027.26806640625,7642.75,7296.57763671875
686,8573.98046875,8305.134765625,8203.61328125,8023.64453125,7643.5693359375,8273.5732421875,8099.96337890625,8010.51171875,7597.3818359375,6936.70654296875,8653.2802734375,8408.5166015625,8237.240234375,8110.09814453125,7697.3828125,21579470673,21083613816,20764300437,22514243371,34242315785,0.206708518,0.239352123,0.151894575,0.220728871,0.16606685,0.793291482,0.760647877,0.848105425,0.779271129,0.83393315,8309.2861328125,8206.1455078125,8027.26806640625,7642.75,7296.57763671875,7397.796875
687,8305.134765625,8203.61328125,8023.64453125,7643.5693359375,7296.16455078125,8099.96337890625,8010.51171875,7597.3818359375,6936.70654296875,7151.41796875,8408.5166015625,8237.240234375,8110.09814453125,7697.3828125,7442.2587890625,21083613816,20764300437,22514243371,34242315785,21008924418,0.239352123,0.151894575,0.220728871,0.16606685,0.240600392,0.760647877,0.848105425,0.779271129,0.83393315,0.759399608,8206.1455078125,8027.26806640625,7642.75,7296.57763671875,7397.796875,7047.9169921875
688,8203.61328125,8023.64453125,7643.5693359375,7296.16455078125,7398.6337890625,8010.51171875,7597.3818359375,6936.70654296875,7151.41796875,7029.2890625,8237.240234375,8110.09814453125,7697.3828125,7442.2587890625,7408.5771484375,20764300437,22514243371,34242315785,21008924418,30433517289,0.151894575,0.220728871,0.16606685,0.240600392,0.16632691,0.848105425,0.779271129,0.83393315,0.759399608,0.83367309,8027.26806640625,7642.75,7296.57763671875,7397.796875,7047.9169921875,7146.1337890625
689,8023.64453125,7643.5693359375,7296.16455078125,7398.6337890625,7039.97705078125,7597.3818359375,6936.70654296875,7151.41796875,7029.2890625,6617.1669921875,8110.09814453125,7697.3828125,7442.2587890625,7408.5771484375,7319.85693359375,22514243371,34242315785,21008924418,30433517289,42685231262,0.220728871,0.16606685,0.240600392,0.16632691,0.169422449,0.779271129,0.83393315,0.759399608,0.83367309,0.830577551,7642.75,7296.57763671875,7397.796875,7047.9169921875,7146.1337890625,7218.37109375
